state,date,total
ME,20200307,1
ME,20200308,1
ME,20200309,1
ME,20200310,25
ME,20200311,47
ME,20200312,86
ME,20200313,111
ME,20200314,111
ME,20200315,111
ME,20200316,781
ME,20200317,1335
ME,20200318,1713
ME,20200319,2057
ME,20200320,2321
ME,20200321,2337
ME,20200322,2353
ME,20200323,2898
ME,20200324,3139
ME,20200325,3326
MI,20200305,8
MI,20200306,16
MI,20200307,27
MI,20200308,36
MI,20200309,47
MI,20200310,63
MI,20200311,77
MI,20200312,120
MI,20200313,175
MI,20200314,256
MI,20200315,264
MI,20200316,355
MI,20200317,337
MI,20200318,352
MI,20200319,2449
MI,20200320,2618
MI,20200321,2856
MI,20200322,3104
MI,20200323,3397
MI,20200324,3860
MI,20200325,4363
MN,20200306,36
MN,20200307,49
MN,20200308,49
MN,20200309,82
MN,20200310,135
MN,20200311,222
MN,20200312,316
MN,20200313,555
MN,20200314,868
MN,20200315,1422
MN,20200316,1893
MN,20200317,2336
MN,20200318,2762
MN,20200319,3038
MN,20200320,3856
MN,20200321,4090
MN,20200322,4680
MN,20200323,4746
MN,20200324,5812
MN,20200325,11475
MO,20200307,0
MO,20200308,1
MO,20200309,1
MO,20200310,1
MO,20200311,1
MO,20200312,65
MO,20200313,73
MO,20200314,94
MO,20200315,127
MO,20200316,170
MO,20200317,215
MO,20200318,266
MO,20200319,332
MO,20200320,416
MO,20200321,442
MO,20200322,459
MO,20200323,552
MO,20200324,552
MO,20200325,725
MP,20200316,0
MP,20200317,0
MP,20200318,0
MP,20200319,0
MP,20200320,0
MP,20200321,0
MP,20200322,0
MP,20200323,0
MP,20200324,0
MP,20200325,0
MS,20200307,0
MS,20200308,0
MS,20200309,0
MS,20200310,0
MS,20200311,20
MS,20200312,42
MS,20200313,45
MS,20200314,90
MS,20200315,94
MS,20200316,289
MS,20200317,389
MS,20200318,513
MS,20200319,602
MS,20200320,775
MS,20200321,835
MS,20200322,1321
MS,20200323,1392
MS,20200324,1872
MS,20200325,1943
MT,20200307,11
MT,20200308,11
MT,20200309,11
MT,20200310,15
MT,20200311,21
MT,20200312,35
MT,20200313,56
MT,20200314,108
MT,20200315,167
MT,20200316,205
MT,20200317,311
MT,20200318,509
MT,20200319,773
MT,20200320,947
MT,20200321,1166
MT,20200322,1177
MT,20200323,1180
MT,20200324,1689
MT,20200325,2001
NC,20200304,1
NC,20200305,1
NC,20200306,2
NC,20200307,2
NC,20200308,2
NC,20200309,2
NC,20200310,7
NC,20200311,7
NC,20200312,72
NC,20200313,101
NC,20200314,160
NC,20200315,410
NC,20200316,480
NC,20200317,514
NC,20200318,1850
NC,20200319,2505
NC,20200320,3233
NC,20200321,5276
NC,20200322,6438
NC,20200323,8438
NC,20200324,8539
NC,20200325,10489
ND,20200307,0
ND,20200308,0
ND,20200309,0
ND,20200310,8
ND,20200311,13
ND,20200312,27
ND,20200313,52
ND,20200314,69
ND,20200315,100
ND,20200316,124
ND,20200317,223
ND,20200318,274
ND,20200319,508
ND,20200320,820
ND,20200321,1169
ND,20200322,1288
ND,20200323,1383
ND,20200324,1488
ND,20200325,1773
NE,20200305,22
NE,20200306,22
NE,20200307,23
NE,20200308,23
NE,20200309,48
NE,20200310,66
NE,20200311,68
NE,20200312,123
NE,20200313,126
NE,20200314,127
NE,20200315,130
NE,20200316,188
NE,20200317,227
NE,20200318,230
NE,20200319,267
NE,20200320,272
NE,20200321,394
NE,20200322,404
NE,20200323,406
NE,20200324,1027
NE,20200325,1365
NH,20200304,19
NH,20200305,22
NH,20200306,25
NH,20200307,25
NH,20200308,47
NH,20200309,47
NH,20200310,47
NH,20200311,47
NH,20200312,121
NH,20200313,121
NH,20200314,250
NH,20200315,379
NH,20200316,379
NH,20200317,567
NH,20200318,747
NH,20200319,891
NH,20200320,1420
NH,20200321,1970
NH,20200322,2212
NH,20200323,2341
NH,20200324,2417
NH,20200325,3268
NJ,20200305,1
NJ,20200306,1
NJ,20200307,5
NJ,20200308,37
NJ,20200309,60
NJ,20200310,79
NJ,20200311,100
NJ,20200312,124
NJ,20200313,227
NJ,20200314,227
NJ,20200315,252
NJ,20200316,218
NJ,20200317,485
NJ,20200318,638
NJ,20200319,1026
NJ,20200320,1240
NJ,20200321,1661
NJ,20200322,2290
NJ,20200323,3297
NJ,20200324,12045
NJ,20200325,14854
NM,20200306,16
NM,20200307,48
NM,20200308,48
NM,20200309,57
NM,20200310,69
NM,20200311,90
NM,20200312,160
NM,20200313,200
NM,20200314,247
NM,20200315,495
NM,20200316,583
NM,20200317,1272
NM,20200318,2354
NM,20200319,2797
NM,20200320,3814
NM,20200321,3828
NM,20200322,4779
NM,20200323,5386
NM,20200324,5973
NM,20200325,6842
NV,20200305,15
NV,20200306,15
NV,20200307,15
NV,20200308,15
NV,20200309,15
NV,20200310,14
NV,20200311,173
NV,20200312,175
NV,20200313,179
NV,20200314,188
NV,20200315,353
NV,20200316,213
NV,20200317,223
NV,20200318,223
NV,20200319,1721
NV,20200320,2098
NV,20200321,2508
NV,20200322,2638
NV,20200323,3735
NV,20200324,4232
NV,20200325,4572
NY,20200304,78
NY,20200305,122
NY,20200306,361
NY,20200307,404
NY,20200308,197
NY,20200309,234
NY,20200310,265
NY,20200311,308
NY,20200312,308
NY,20200313,3200
NY,20200314,3303
NY,20200315,5272
NY,20200316,5493
NY,20200317,7206
NY,20200318,14597
NY,20200319,22284
NY,20200320,32427
NY,20200321,45437
NY,20200322,61401
NY,20200323,78289
NY,20200324,91270
NY,20200325,103479
OH,20200305,10
OH,20200306,10
OH,20200307,14
OH,20200308,14
OH,20200309,19
OH,20200310,32
OH,20200311,49
OH,20200312,87
OH,20200313,222
OH,20200314,222
OH,20200315,525
OH,20200316,551
OH,20200317,207
OH,20200318,228
OH,20200319,259
OH,20200320,309
OH,20200321,387
OH,20200322,491
OH,20200323,582
OH,20200324,704
OH,20200325,14764
OK,20200307,1
OK,20200308,11
OK,20200309,19
OK,20200310,28
OK,20200311,28
OK,20200312,43
OK,20200313,76
OK,20200314,77
OK,20200315,139
OK,20200316,213
OK,20200317,346
OK,20200318,517
OK,20200319,760
OK,20200320,961
OK,20200321,757
OK,20200322,838
OK,20200323,877
OK,20200324,841
OK,20200325,969
OR,20200304,50
OR,20200305,61
OR,20200306,95
OR,20200307,124
OR,20200308,167
OR,20200309,231
OR,20200310,295
OR,20200311,367
OR,20200312,367
OR,20200313,524
OR,20200314,524
OR,20200315,681
OR,20200316,800
OR,20200317,920
OR,20200318,1554
OR,20200319,1854
OR,20200320,2550
OR,20200321,2550
OR,20200322,3025
OR,20200323,3840
OR,20200324,4559
OR,20200325,4559
PA,20200306,2
PA,20200307,2
PA,20200308,4
PA,20200309,7
PA,20200310,12
PA,20200311,157
PA,20200312,219
PA,20200313,303
PA,20200314,402
PA,20200315,451
PA,20200316,746
PA,20200317,975
PA,20200318,1320
PA,20200319,1793
PA,20200320,2842
PA,20200321,4137
PA,20200322,5443
PA,20200323,7239
PA,20200324,9494
PA,20200325,12320
PR,20200316,14
PR,20200317,22
PR,20200318,57
PR,20200319,90
PR,20200320,180
PR,20200321,235
PR,20200322,275
PR,20200323,255
PR,20200324,349
PR,20200325,438
RI,20200307,2
RI,20200308,45
RI,20200309,62
RI,20200310,62
RI,20200311,87
RI,20200312,107
RI,20200313,185
RI,20200314,275
RI,20200315,275
RI,20200316,478
RI,20200317,478
RI,20200318,907
RI,20200319,907
RI,20200320,848
RI,20200321,1218
RI,20200322,1231
RI,20200323,1254
RI,20200324,1303
RI,20200325,1463
SC,20200304,5
SC,20200305,5
SC,20200306,5
SC,20200307,10
SC,20200308,10
SC,20200309,31
SC,20200310,31
SC,20200311,41
SC,20200312,58
SC,20200313,87
SC,20200314,123
SC,20200315,173
SC,20200316,263
SC,20200317,344
SC,20200318,643
SC,20200319,643
SC,20200320,914
SC,20200321,1407
SC,20200322,1661
SC,20200323,1765
SC,20200324,2310
SC,20200325,2727
SD,20200307,5
SD,20200308,5
SD,20200309,5
SD,20200310,11
SD,20200311,20
SD,20200312,46
SD,20200313,93
SD,20200314,194
SD,20200315,342
SD,20200316,504
SD,20200317,597
SD,20200318,913
SD,20200319,947
SD,20200320,947
SD,20200321,973
SD,20200322,1038
SD,20200323,1055
SD,20200324,1088
SD,20200325,1128
TN,20200305,1
TN,20200306,1
TN,20200307,1
TN,20200308,3
TN,20200309,3
TN,20200310,7
TN,20200311,57
TN,20200312,97
TN,20200313,142
TN,20200314,162
TN,20200315,196
TN,20200316,322
TN,20200317,403
TN,20200318,447
TN,20200319,503
TN,20200320,791
TN,20200321,3643
TN,20200322,3777
TN,20200323,3887
TN,20200324,11184
TN,20200325,11796
TX,20200304,1
TX,20200305,1
TX,20200306,5
TX,20200307,8
TX,20200308,8
TX,20200309,12
TX,20200310,13
TX,20200311,21
TX,20200312,23
TX,20200313,39
TX,20200314,51
TX,20200315,56
TX,20200316,57
TX,20200317,1268
TX,20200318,1907
TX,20200319,2355
